query,seendate,title,domain,language,sourcecountry,url,url_mobile,socialimage
"""Ukraine"" ""energy infrastructure""",20260505T110000Z,Сибиха : На предлог Украјине о прекиду ватре Русија одговорила масовним нападом,politika.rs,Serbian,Serbia,https://www.politika.rs/scc/clanak/752637/sibiha-na-predlog-ukrajine-o-prekidu-vatre-rusija-odgovorila-masovnim-napadom,https://www.politika.rs/sr/articles/amp/752637,https://www.politika.rs/thumbs/upload/Article/Image/2026_05/757z468_yyy.jpg
Ukrzaliznytsia,20260505T101500Z,Удар РФ по Украине – в Укрзалізниці показали последствия вражеской атаки,focus.ua,Russian,Ukraine,https://focus.ua/voennye-novosti/753004-udar-rf-po-ukraine-v-ukrzaliznici-pokazali-posledstviya-vrazheskoy-ataki,https://focus.ua/amp/voennye-novosti/753004-udar-rf-po-ukraine-v-ukrzaliznici-pokazali-posledstviya-vrazheskoy-ataki,https://focus.ua/static/storage/thumbs/1200x630/c/9a/3eme3p-b36fe582d6e4e5ced747213eba9a49ac.png?v=2896_1
"""Ukraine"" ""energy infrastructure""",20260505T101500Z,Зеленський заявив про абсолютний цинізм Росії,news.bigmir.net,Ukrainian,United States,https://news.bigmir.net/ua/ukraine/10346878-zelenskij-zayaviv-pro-absolyutnij-tsinizm-rosiyi,https://news.bigmir.net/ua/amp-page/ukraine/10346878-zelenskij-zayaviv-pro-absolyutnij-tsinizm-rosiyi,https://news.bigmir.net/i/10/34/68/78/10346878/70df44a7a96e67a374f84f2ae9830cc3-resize_crop_1Xquality_100Xallow_enlarge_0Xw_1200Xh_630.jpg
"""Ukraine"" ""energy infrastructure""",20260505T094500Z,Ζελένσκι για Ρωσία : Απόλυτος κυνισμός να ζητά εκεχειρία και ταυτόχρονα να επιτίθεται στην Ουκρανία,onalert.gr,Greek,Greece,https://www.onalert.gr/kosmos/zelenski-gia-rosia-apolytos-kynismos-na-zita-ekecheiria-kai-taytochrona-na-epitithetai-stin-oykrania/672362/,https://www.onalert.gr/kosmos/zelenski-gia-rosia-apolytos-kynismos-na-zita-ekecheiria-kai-taytochrona-na-epitithetai-stin-oykrania/672362/amp/,https://www.onalert.gr/wp-content/uploads/2026/05/ukraine-poltava.jpeg
"""Ukraine"" ""energy infrastructure""",20260505T091500Z,Зеленський - про російські обстріли : Україна діятиме дзеркально,kp.ua,Ukrainian,Ukraine,https://kp.ua/ua/politics/a729455-zelenskij-pro-rosijski-obstrili-ukrajina-dijatime-dzerkalno,https://kp.ua/ua/amp/a729455-zelenskij-pro-rosijski-obstrili-ukrajina-dijatime-dzerkalno,
"""Ukraine"" ""energy infrastructure""",20260505T091500Z,Зеленський заявив про абсолютний цинізм Росії,ua.korrespondent.net,Ukrainian,Ukraine,https://ua.korrespondent.net/ukraine/4876211-zelenskyi-zaiavyv-pro-absoluitnyi-tsynizm-rosii,https://ua.korrespondent.net/amp/4876211-zelenskyi-zaiavyv-pro-absoluitnyi-tsynizm-rosii,https://kor.ill.in.ua/m/1260x900/4423566.jpg
"""Ukraine"" ""energy infrastructure""",20260505T084500Z,Зеленский заявил об абсолютном цинизме России,korrespondent.net,Russian,Ukraine,https://korrespondent.net/ukraine/4876211-zelenskyi-zaiavyl-ob-absoluitnom-tsynyzme-rossyy,https://korrespondent.net/amp/4876211-zelenskyi-zaiavyl-ob-absoluitnom-tsynyzme-rossyy,https://kor.ill.in.ua/m/1260x900/4423566.jpg
Ukrzaliznytsia,20260505T081500Z,"Удар по вагону в Харьковской области 5 мая 2026 год - что известно , есть ли пострадавшие",24tv.ua,Russian,Ukraine,https://24tv.ua/ru/udar-po-vagonu-harkovskoj-oblasti-5-maja-2026-god-chto-izvestno_n3061749,https://24tv.ua/ru/udar-po-vagonu-harkovskoj-oblasti-5-maja-2026-god-chto-izvestno_n3061749/amp,https://24tv.ua/resources/photos/news/202605/3061749.jpg?v=1777960335000
"""Ukraine"" ""energy infrastructure""",20260505T081500Z,"Ukrayna Devlet Başkanı Zelenskiy , Rusyanın ülkesine saldırılarında 5 kişinin öldüğünü belirtti",haberler.com,Turkish,Turkey,https://www.haberler.com/guncel/ukrayna-devlet-baskani-zelenskiy-rusya-nin-19803263-haberi/,https://www.haberler.com/amp/ukrayna-devlet-baskani-zelenskiy-rusya-nin-19803263-haberi/,
"""Ukraine"" ""energy infrastructure""",20260505T080000Z,Зеленський про нічні удари РФ : Абсолютний цинізм – просити про тишу й бити ракетами,interfax.com.ua,Ukrainian,Ukraine,https://interfax.com.ua/news/general/1164908.html,https://interfax.com.ua/news/general/1164908-amp.html,https://media.interfax.com.ua/media/thumbs/images/2025/11/abexc/ASntt-AYU-2n.jpg
"""Ukraine"" ""energy infrastructure""",20260505T074500Z,В нескольких областях Украины частично пропал свет,ria.ru,Russian,Russia,https://ria.ru/20260505/ukraina-2090573114.html,,https://cdnn21.img.ria.ru/images/sharing/article/2090573114.jpg
