date,rows,launched_total,destroyed_total,shahed_reported_total,sources
2026-01-24,3,137.0,120.0,70.0,PvKPivden/posts/pfbid0Diz175kFSv8Tb43nxG9bfno4J6Z27Prgkw9rfsetnReRLVRwquVaPVXTXjLnpuKEl;kpszsu/posts/pfbid02U8EhXwXerdZyx2CgXtNvQbLLVPVPQVH2djNpE5EHjmFDhBgV6ah175AUR2yRdrfl
2026-01-25,2,161.0,133.0,90.0,PvKPivden/posts/pfbid025mMMxRDqdnSvk7XEXKsSBmWCGB3csH3tvccDft86DUpBjUHqoW2zNyHYAp2MSdaMl;kpszsu/posts/pfbid02U8EhXwXerdZyx2CgXtNvQbLLVPVPQVH2djNpE5EHjmFDhBgV6ah175AUR2yRdrfl
2026-01-26,2,170.0,140.0,100.0,PvKPivden/posts/pfbid0271sHaE1HutvfbbuAzQfAZn34RNcW1CKZxWQvBMpK11p86bDoyazgKa8hvJwAdNAbl;kpszsu/posts/pfbid02BniSyzFyKz1R3epTKNuPtVbmX74QSJCdRSXFA9LAASyUZ5FFBJaQ3VehpWGWP4mzl
2026-01-27,4,167.0,123.0,90.0,PvKPivden/posts/pfbid0vuQjM8ieQcqGdyeGM46sgkk6fcVUp5rjXrc6ae8F7pf9Pds13uvki43HXazE2JWTl;PvkZahid/posts/pfbid0jVhvNQRHFsehjrmz41FDivSZisN8RMF3QrVoYEJeqSBWvTqCi1QoGsm3e4Si6K8cl;kpszsu/posts/pfbid02LxgJ4RDHFpsehprWzgHeKDbj8WZyzkcnkYQjSbsnTaPnRgtXUdNsjM9DRme5oxrZl
2026-01-28,4,122.0,101.0,70.0,PvKPivden/posts/pfbid02tYMKL2uXYxsogYrKFNSPUXxGgri44vUiuV5zhzSviYA7hTqkkuTAgNxWb5139pGtl;PvkZahid/posts/pfbid09dtZLo8qUZQYv4kB7EuND3FX8SAH76WpxUSkE8NF1JErofTuxupJ9aEBqzbP2gP8l;kpszsu/posts/pfbid023vKxYk97C6iD8NY1WLuvrYnKMeFdc1T4ibYALLQqRDr4XA22u93c9qmeSRv8NSV8l
2026-01-29,3,128.0,96.0,70.0,PvKPivden/posts/pfbid0Uz2RQ9bXq2g56jFHmqLrhF3CkyJLbBrX3UpxdkRkKjLAauRf4wg4pCxwQoCMAK3sl;kpszsu/posts/pfbid0wiUs5RZutpLCuhpxLGVhaiN99Fz822Migp1F9ixtTjoGUziqtdQBhY9iHYAwmXgGl
2026-01-30,2,91.0,70.0,55.0,PvKPivden/posts/pfbid02yb9KVrdWBvPHerGGDZBdtwXpgfhaPoxYPNA2gqVT3T4oCAWP1SVrc3UDtKorpi5zl;kpszsu/posts/pfbid0qFnJ7JiGVj75DJuZTFF1hUJgMaNR5d7DxFBkm85RaZ57XJW75yNbnxpCd3G7Db55l
2026-01-31,1,90.0,76.0,60.0,kpszsu/posts/pfbid05aetptuzeDuLmpAR9mRFACxL8adQiCtYDa1r9DKzvKb3NKuSZn14uwHZRpapDG57l
2026-02-01,4,197.0,182.0,100.0,PvKPivden/posts/pfbid02NQE7x74aLWdmBsAvmBjTTW1hgk38KFg1CwiSeVtTsxoKXNsTJb89sf9V7n5baLFtl;kpszsu/posts/pfbid02EzhmP1gy4PMTnvWXAbbhDxrWfDrNYw5YgcCuv8EGTpUYqVhNQv1ydgBqVzYcuT7Kl
2026-02-02,7,550.0,479.0,300.0,PvKPivden/posts/pfbid03816b3Yz3LivixTt1gskBYF4hJEKrj9wLMwrXTXiaUUF7FtUUCfnj8f8ZRFJax88Vl;kpszsu/posts/pfbid0219MYLf91ei1mY69nNHj1QJ8hMfvh5q1FvGs3BWXfVAgRWnhLjRpvEptau2pGLHK9l
2026-02-03,3,120.0,103.0,70.0,PvKPivden/posts/pfbid0pxrcx4vhoD3NSXBQ33MddRP9Gs4DTkk9LJNnhD9EZpCyq9bkY9JRvAv7a1KY59wTl;kpszsu/posts/pfbid0bBSMPJdLHzir3A9iDkocUa2YY6NN78ZZ4ZYTZ2K7MoyAMH3ZHtjk1CX4t6VfZD47l
2026-02-04,4,204.0,175.0,110.0,PvKPivden/posts/pfbid02N2w43XSvfNEqZsFUXL5wUTF59hB6MKuW1twohevWPhmCx4YHEdz8AfWVFs2S54Qzl;kpszsu/posts/pfbid0yFbjVSuiKagC9jP8ybhR4fZWqcPzH9qWFoEv1A2v5qdGBN3X1pYhtNRUnKAyF6sPl
2026-02-05,6,346.0,308.0,200.0,PvKPivden/posts/pfbid0nWmzXorX2LiVBsJGXpgo3AkJhN56Tnj94hTQMYFeFdVjTG8KcqJHnMxdgTcdwC5ul;PvkZahid/posts/pfbid02eB5it2g8VHYSWspWup4FWyVj65BnMoysCw2jHJMk3MAJE7R9TQ5MeTxTpnWMcsiwl;kpszsu/posts/pfbid02xRf69RszXrjjEP5qEKQsdZUim2d684iaTaR3xfxXS9uPztPFMcTJ8CjyBnfT3xfhl
2026-02-06,2,417.0,391.0,250.0,PvKPivden/posts/pfbid02VZ7v9A4HmT7nhdSMz2DUCnCNUeYijviw8v89EdqRfuvP1DzW4kSjSwWK4ZLZRNNsl;kpszsu/posts/pfbid02CZcDiHL4AMfPNjuL3T8g4Pt7NVQqyQZMnPpxsqYFUd2butHEpVnRz1V4h7kEgFbjl
2026-02-07,4,140.0,93.0,70.0,kpszsu/posts/pfbid02CZcDiHL4AMfPNjuL3T8g4Pt7NVQqyQZMnPpxsqYFUd2butHEpVnRz1V4h7kEgFbjl;kpszsu/posts/pfbid0SyvTrtmBdBfWqr74VrhCWL4cR8fGmUTD4aE1ccv6kwqXivDYBJQLaQMUGvLRJZxyl;kpszsu/posts/pfbid0emp8PQVvfF6nJsWas4j7jV573z9kT3NAf5g3EHK53ZWnuUDPVsFgVhrwPzfhq5Ngl
2026-02-08,3,191.0,147.0,90.0,PvKPivden/posts/pfbid02dcYFyoxo2kGfMZbJub4ova2Rxg2G3FYSRLHwzhbVzvUkeB1Lv7Py1x2qAQPeHPBxl;kpszsu/posts/pfbid0eQC1TkLkX6yXBzXHUoC47yHp41kcLghmTpaTCbDHqCmqF5CmJ5YfDV7FgRpxuzQsl
2026-02-09,3,151.0,136.0,80.0,PvKPivden/posts/pfbid02P1wfuxtz9dKDbFp6yXrYQdKiPP5PciqsnWQ77XgWDBMiSZpWkhPx144vrFCLo2jQl;kpszsu/posts/pfbid0g215Hqf9zHQ5V7CSzWkYFFuzzHAzLSXN9WzNggr1X88kChiSay9RCUWhe9ftjPpel
2026-02-10,4,161.0,143.0,80.0,PvKPivden/posts/pfbid05BWLtkayuTctg6hxsBEqGTbaHYJC9dQhf4e5x7LnF61bfnh2gGw5fc4XPPL7ohnQl;kpszsu/posts/pfbid01Ugzv72HoTFty6pNeofpysWXVq46XwFe98KFmzjimmFxvBCA63GM9tnoYu1U51RVl
2026-02-11,7,278.0,243.0,150.0,PvKPivden/posts/pfbid02aE5A49keFXD6DEtkLoopGfdh4CRWDdM9WvWi2TBKCBxmgR4Mf6EeRxQN9C51F2Mgl;kpszsu/posts/pfbid026CooA3neFjxHHGbAQFvqpD11x712ddGdtyKB6xUdzd2pPKUt7HgXdx2ZojqfpaWVl;kpszsu/posts/pfbid02tRG3H6MzKMJV9vT8eS2QSXd6otRKeZiwaTebDt2MYY7kqk453GvcMANTc9NsXkDWl
2026-02-12,3,182.0,138.0,100.0,PvKPivden/posts/pfbid0GXwE8LoWZVHNfqDRktNvmZMErGNCa9M74rvxfSa4QNd3fwuJ8CzfgHdCHs7YBgoJl;kpszsu/posts/pfbid0aaH4n6vDGm2Td1RAHYwNKsSUxamJpdWX466Zh7eWBVwBciNuNoX4a2CtkGxXjXJQl
2026-02-13,6,148.0,124.0,70.0,PvKPivden/posts/pfbid036iqFYQeV2iW7idvNV16hd6v66CDZJMwgpmRTX98FU4ibT1AGbb688LztQD68nvQl;PvkZahid/posts/pfbid0S4YEZ5QDxEpNNQDqyfBqteZ1QLQUhP4Z6c8dVpMZPMkuMkRbc8qGwCMx2P6e3c2vl;kpszsu/posts/pfbid02c1AgHwW6Jw4opmxgGEA1bP8WHynLGaUtciiHxtdJ9Urq52GFf3NE4PnTD1YjeHzWl
2026-02-14,2,103.0,75.0,50.0,PvKPivden/posts/pfbid02z6RNnsh7nLkD38sPEkKnoAc8ywQhjhx7r51UaxCaMWPpDZ9JJg3X1VkqRBo2fABfl;kpszsu/posts/pfbid0GzUWTJ83g643MFnrtmZdGxn6tVf2dsGvZHZZp69F1R9rkfk458LrjPpVnKtMByvxl
