id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best,high,low,gwnoa,gwnob
631426,COL-2026-3-3-XXX100-256,2026,false,Check dyad,3,XXX100,4294,XXX100 - Civilians,XXX100,4900,XXX100 - Civilians,XXX100,3630,XXX100,9999,1,Civilians,1,"""El Heraldo,2026-05-11,Hombre es asesinado de un disparo en la cabeza en Riohacha, La Guajira""",El Heraldo,2026-05-11,"Hombre es asesinado de un disparo en la cabeza en Riohacha, La Guajira",El Heraldo,1,Riohacha town,​​Riohacha,La Guajira department,Riohacha municipality,11.544444,-72.907222,POINT (-72.907222 11.544444),146375,Colombia,100,Americas,1,1,2026-05-10 00:00:00.000,2026-05-10 00:00:00.000,0,0,0,1,1,1,1,,
631564,COL-2026-3-3-XXX100-257,2026,false,Check type of violence,3,XXX100,4294,XXX100 - Civilians,XXX100,4900,XXX100 - Civilians,XXX100,3630,XXX100,9999,1,Civilians,1,"""El Heraldo,2026-05-16,Asesinan a bala a Rogers Devia, exalcalde de Cubarral, Meta, y coordinador de Defensores de la Patria en esa región""",El Heraldo,2026-05-16,"Asesinan a bala a Rogers Devia, exalcalde de Cubarral, Meta, y coordinador de Defensores de la Patria en esa región",El Heraldo,3,Cubarral municipality,"municipality of Cubarral, in Meta",Meta department,Cubarral municipality,3.758840,-74.114220,POINT (-74.11422 3.75884),134852,Colombia,100,Americas,1,1,2026-05-15 00:00:00.000,2026-05-15 00:00:00.000,0,0,1,0,1,1,1,,
631087,COL-2026-3-3-XXX100-250,2026,false,Check,3,XXX100,4294,XXX100 - Civilians,XXX100,4900,XXX100 - Civilians,XXX100,3630,XXX100,9999,1,Civilians,1,"""International Crisis Group,2026-06-05,Crisis Watch: Colombia May 2026""",International Crisis Group,2026-06-05,Crisis Watch: Colombia May 2026,Crisis Watch,3,Cubarral municipality,Cubarral municipality (Meta department),Meta department,Cubarral municipality,3.758840,-74.114220,POINT (-74.11422 3.75884),134852,Colombia,100,Americas,1,1,2026-05-16 00:00:00.000,2026-05-16 00:00:00.000,0,0,2,0,2,2,2,,
631405,COL-2026-1-15746-8,2026,false,Check incompatibility,1,XXX100,35,XXX100,15746,15746,Government of Colombia - EGC,17,17,Government of Colombia,7214,7214,EGC,1,"""El Espectador,2026-05-08,Seis muertos y cuatro heridos dejan combates entre el Clan del Golfo y Ejército en Antioquia""",El Espectador,2026-05-08,Seis muertos y cuatro heridos dejan combates entre el Clan del Golfo y Ejército en Antioquia,El Espectador,3,Urrao municipality,municipality of Urrao (Antioquia),Antioquia department,Urrao municipality,6.333333,-76.416667,POINT (-76.416667 6.333333),138448,Colombia,100,Americas,1,1,2026-05-08 00:00:00.000,2026-05-08 00:00:00.000,2,4,0,0,6,6,6,100,
631576,COL-2026-1-15746-9,2026,false,Check incompatibility,1,XXX100,35,XXX100,15746,15746,Government of Colombia - EGC,17,17,Government of Colombia,7214,7214,EGC,1,"""El Colombiano,2026-05-17,Dos muertos en operativo del Gaula Militar en Belén Altavista, de Medellín, donde buscan una menor desaparecida


AU""",El Colombiano,2026-05-17,"Dos muertos en operativo del Gaula Militar en Belén Altavista, de Medellín, donde buscan una menor desaparecida


AU",El Colombiano,1,Medellín town,Belén Altavista neighborhood of Medellín,Antioquia department,Medellín municipality,6.251840,-75.563591,POINT (-75.563591 6.25184),138449,Colombia,100,Americas,1,1,2026-05-17 00:00:00.000,2026-05-17 00:00:00.000,0,2,0,0,2,2,2,100,
631583,COL-2026-1-15746-10,2026,false,Check incompatibility,1,XXX100,35,XXX100,15746,15746,Government of Colombia - EGC,17,17,Government of Colombia,7214,7214,EGC,1,"""Infobae,2026-05-18,Mueren dos militares en enfrentamientos con el Clan del Golfo en el norte de Colombia""",Infobae,2026-05-18,Mueren dos militares en enfrentamientos con el Clan del Golfo en el norte de Colombia,Infobae,3,Acandí municipality,"municipality of Acandí, in the department of Chocó",Chocó department,Acandí municipality,8.424680,-77.292800,POINT (-77.2928 8.42468),141326,Colombia,100,Americas,1,1,2026-05-17 00:00:00.000,2026-05-17 00:00:00.000,2,0,0,0,2,2,2,100,
631422,COL-2026-3-16604-5,2026,false,Clear,3,7922,15189,Autodefensas Conquistadoras de la Sierra Nevada - Civilians,7922,16604,Autodefensas Conquistadoras de la Sierra Nevada - Civilians,7922,7922,Autodefensas Conquistadoras de la Sierra Nevada,9999,1,Civilians,2,"""El TIempo,2026-05-10,Masacre en Magdalena dejó cuatro muertos y dos heridos antes del Día de la Madre: hombres dispararon en plena vía pública


AU"";""El Heraldo,2026-05-11,La cifra de fallecidos en la masacre de Puebloviejo, Magdalena, se eleva a cinco""",El TIempo;El Heraldo,2026-05-10;2026-05-11,"Masacre en Magdalena dejó cuatro muertos y dos heridos antes del Día de la Madre: hombres dispararon en plena vía pública


AU;La cifra de fallecidos en la masacre de Puebloviejo, Magdalena, se eleva a cinco","El Tiempo, El Heraldo",4,Magdalena department,"Pueblo Viejo, Magdalena.",Magdalena department,,10.000000,-74.500000,POINT (-74.5 10),144212,Colombia,100,Americas,1,1,2026-05-09 00:00:00.000,2026-05-09 00:00:00.000,0,0,5,0,5,5,5,,
631387,COL-2026-1-17247-15,2026,true,Clear,1,"",289,Colombia: Government,17247,17247,Government of Colombia - FARC-EMC,17,17,Government of Colombia,8468,8468,FARC-EMC,1,"""El Heraldo,2026-05-04,Combates contra disidencias de alias Calarcá en Antioquia dejan un saldo de un militar muerto y otro más herido""",El Heraldo,2026-05-04,Combates contra disidencias de alias Calarcá en Antioquia dejan un saldo de un militar muerto y otro más herido,El Heraldo,1,Briceño town,"Briceño, Antioquia.",Antioquia department,Briceño municipality,7.110957,-75.551523,POINT (-75.551523 7.110957),139889,Colombia,100,Americas,1,1,2026-05-04 00:00:00.000,2026-05-04 00:00:00.000,1,0,0,0,1,1,1,100,
631545,COL-2026-1-17247-16,2026,true,Clear,1,"",289,Colombia: Government,17247,17247,Government of Colombia - FARC-EMC,17,17,Government of Colombia,8468,8468,FARC-EMC,1,"""El TIempo,2026-05-14,Mueren al menos seis presuntos disidentes de Farc en combates con el Ejército en el Cauca: entre los fallecidos estaría el cabecilla 'Fernando Gómez'


AU""",El TIempo,2026-05-14,"Mueren al menos seis presuntos disidentes de Farc en combates con el Ejército en el Cauca: entre los fallecidos estaría el cabecilla 'Fernando Gómez'


AU",El Tiempo,3,Belalcázar municipality,"municipality of Belalcázar, Cauca",Cauca department,Belalcázar municipality,2.646440,-75.972690,POINT (-75.97269 2.64644),133409,Colombia,100,Americas,1,1,2026-05-14 00:00:00.000,2026-05-14 00:00:00.000,0,6,0,0,6,6,6,100,
631589,COL-2026-1-17247-17,2026,true,Clear,1,"",289,Colombia: Government,17247,17247,Government of Colombia - FARC-EMC,17,17,Government of Colombia,8468,8468,FARC-EMC,1,"""Infobae,2026-05-20,El Ejército colombiano lamenta un militar muerto y seis heridos en un ataque con drones en el Cauca (suroeste)""",Infobae,2026-05-20,El Ejército colombiano lamenta un militar muerto y seis heridos en un ataque con drones en el Cauca (suroeste),Infobae,3,Suárez municipality,"municipality of Suárez, in the southwestern province of Cauca",Cauca department,Suárez municipality,2.905690,-76.807020,POINT (-76.80702 2.90569),133407,Colombia,100,Americas,1,1,2026-05-19 00:00:00.000,2026-05-19 00:00:00.000,1,0,0,0,1,1,1,100,
